!SIL	SIL
<SPOKEN_NOISE>	SPN
가까워	f0 m0 f1 m0 f11 m14
가까이	f0 m0 f1 m0 f11 m20
가깝냐고	f0 m0 f1 m0 e16 f2 m2 f0 m8
가깝습니다	f0 m0 f1 m0 e16 f9 m18 e16 f2 m20 f3 m0
가끔	f0 m0 f1 m18 e15
가끔씩	f0 m0 f1 m18 e15 f10 m20 e0
가나	f0 m0 f2 m0
가나다	f0 m0 f2 m0 f3 m0
가나다순으로	f0 m0 f2 m0 f3 m0 f9 m13 e3 f11 m18 f5 m8
가난한	f0 m0 f2 m0 e3 f18 m0 e3
가느다란	f0 m0 f2 m18 f3 m0 f5 m0 e3
가는	f0 m0 f2 m18 e3
가는거야	f0 m0 f2 m18 e3 f0 m4 f11 m2
가는게	f0 m0 f2 m18 e3 f0 m5
가는날이	f0 m0 f2 m18 e3 f2 m0 e7 f11 m20
가는데	f0 m0 f2 m18 e3 f3 m5
가는데요	f0 m0 f2 m18 e3 f3 m5 f11 m12
가는덴	f0 m0 f2 m18 e3 f3 m5 e3
가는주를	f0 m0 f2 m18 e3 f12 m13 f5 m18 e7
가는지	f0 m0 f2 m18 e3 f12 m20
가늘게	f0 m0 f2 m18 e7 f0 m5
가능도	f0 m0 f2 m18 e20 f3 m8
가능성	f0 m0 f2 m18 e20 f9 m4 e20
가능성도	f0 m0 f2 m18 e20 f9 m4 e20 f3 m8
가능성에	f0 m0 f2 m18 e20 f9 m4 e20 f11 m5
가능성은	f0 m0 f2 m18 e20 f9 m4 e20 f11 m18 e3
가능성을	f0 m0 f2 m18 e20 f9 m4 e20 f11 m18 e7
가능성이	f0 m0 f2 m18 e20 f9 m4 e20 f11 m20
가능성입니다	f0 m0 f2 m18 e20 f9 m4 e20 f11 m20 e16 f2 m20 f3 m0
가능이	f0 m0 f2 m18 e20 f11 m20
가능입니다	f0 m0 f2 m18 e20 f11 m20 e16 f2 m20 f3 m0
가능하겠니	f0 m0 f2 m18 e20 f18 m0 f0 m5 e19 f2 m20
가능하나가	f0 m0 f2 m18 e20 f18 m0 f2 m0 f0 m0
가능하니	f0 m0 f2 m18 e20 f18 m0 f2 m20
가능하니까	f0 m0 f2 m18 e20 f18 m0 f2 m20 f1 m0
가능하다고	f0 m0 f2 m18 e20 f18 m0 f3 m0 f0 m8
가능하면	f0 m0 f2 m18 e20 f18 m0 f6 m6 e3
가능하지	f0 m0 f2 m18 e20 f18 m0 f12 m20
가능한	f0 m0 f2 m18 e20 f18 m0 e3
가능한지	f0 m0 f2 m18 e20 f18 m0 e3 f12 m20
가능할	f0 m0 f2 m18 e20 f18 m0 e7
가능할까	f0 m0 f2 m18 e20 f18 m0 e7 f1 m0
가능할까가	f0 m0 f2 m18 e20 f18 m0 e7 f1 m0 f0 m0
가능합니다	f0 m0 f2 m18 e20 f18 m0 e16 f2 m20 f3 m0
가능합니다라고	f0 m0 f2 m18 e20 f18 m0 e16 f2 m20 f3 m0 f5 m0 f0 m8
가능합니다로	f0 m0 f2 m18 e20 f18 m0 e16 f2 m20 f3 m0 f5 m8
가능해	f0 m0 f2 m18 e20 f18 m1
가능해요	f0 m0 f2 m18 e20 f18 m1 f11 m12
가니	f0 m0 f2 m20
가니까	f0 m0 f2 m20 f1 m0
가니까는	f0 m0 f2 m20 f1 m0 f2 m18 e3
가다가	f0 m0 f3 m0 f0 m0
가닥잡아가	f0 m0 f3 m0 e0 f12 m0 e16 f11 m0 f0 m0
가던	f0 m0 f3 m4 e3
가도	f0 m0 f3 m8
가도록	f0 m0 f3 m8 f5 m8 e0
가동	f0 m0 f3 m8 e20
가동도	f0 m0 f3 m8 e20 f3 m8
가동되었습니다	f0 m0 f3 m8 e20 f3 m11 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
가동되었어요	f0 m0 f3 m8 e20 f3 m11 f11 m4 e19 f11 m4 f11 m12
가동시켜	f0 m0 f3 m8 e20 f9 m20 f15 m6
가동시켜봐	f0 m0 f3 m8 e20 f9 m20 f15 m6 f7 m9
가동시켜줄래	f0 m0 f3 m8 e20 f9 m20 f15 m6 f12 m13 e7 f5 m1
가동시켜줘	f0 m0 f3 m8 e20 f9 m20 f15 m6 f12 m14
가동시켜줘라	f0 m0 f3 m8 e20 f9 m20 f15 m6 f12 m14 f5 m0
가동시켰어요	f0 m0 f3 m8 e20 f9 m20 f15 m6 e19 f11 m4 f11 m12
가동시킬래	f0 m0 f3 m8 e20 f9 m20 f15 m20 e7 f5 m1
가동시킵니다	f0 m0 f3 m8 e20 f9 m20 f15 m20 e16 f2 m20 f3 m0
가동을	f0 m0 f3 m8 e20 f11 m18 e7
가동이	f0 m0 f3 m8 e20 f11 m20
가동이에요	f0 m0 f3 m8 e20 f11 m20 f11 m5 f11 m12
가동하고	f0 m0 f3 m8 e20 f18 m0 f0 m8
가동할	f0 m0 f3 m8 e20 f18 m0 e7
가동할게요	f0 m0 f3 m8 e20 f18 m0 e7 f0 m5 f11 m12
가동할래	f0 m0 f3 m8 e20 f18 m0 e7 f5 m1
가동합니다	f0 m0 f3 m8 e20 f18 m0 e16 f2 m20 f3 m0
가동해	f0 m0 f3 m8 e20 f18 m1
가동해라	f0 m0 f3 m8 e20 f18 m1 f5 m0
가동해볼래	f0 m0 f3 m8 e20 f18 m1 f7 m8 e7 f5 m1
가동해봐	f0 m0 f3 m8 e20 f18 m1 f7 m9
가동해주겠니	f0 m0 f3 m8 e20 f18 m1 f12 m13 f0 m5 e19 f2 m20
가동해주고	f0 m0 f3 m8 e20 f18 m1 f12 m13 f0 m8
가동해줄래	f0 m0 f3 m8 e20 f18 m1 f12 m13 e7 f5 m1
가동해줘	f0 m0 f3 m8 e20 f18 m1 f12 m14
가동했니	f0 m0 f3 m8 e20 f18 m1 e19 f2 m20
가동했습니다	f0 m0 f3 m8 e20 f18 m1 e19 f9 m18 e16 f2 m20 f3 m0
가동했어요	f0 m0 f3 m8 e20 f18 m1 e19 f11 m4 f11 m12
가둘	f0 m0 f3 m13 e7
가득	f0 m0 f3 m18 e0
가득차	f0 m0 f3 m18 e0 f14 m0
가득찬	f0 m0 f3 m18 e0 f14 m0 e3
가득한	f0 m0 f3 m18 e0 f18 m0 e3
가득히	f0 m0 f3 m18 e0 f18 m20
가든	f0 m0 f3 m18 e3
가든자유로가	f0 m0 f3 m18 e3 f12 m0 f11 m17 f5 m8 f0 m0
가디건	f0 m0 f3 m20 f0 m4 e3
가디건을	f0 m0 f3 m20 f0 m4 e3 f11 m18 e7
가디언	f0 m0 f3 m20 f11 m4 e3
가디언이	f0 m0 f3 m20 f11 m4 e3 f11 m20
가라	f0 m0 f5 m0
가라고	f0 m0 f5 m0 f0 m8
가래	f0 m0 f5 m1
가량	f0 m0 f5 m2 e20
가량의	f0 m0 f5 m2 e20 f11 m19
가량이에요	f0 m0 f5 m2 e20 f11 m20 f11 m5 f11 m12
가량입니다	f0 m0 f5 m2 e20 f11 m20 e16 f2 m20 f3 m0
가러	f0 m0 f5 m4
가려고	f0 m0 f5 m6 f0 m8
가려고해	f0 m0 f5 m6 f0 m8 f18 m1
가려는데	f0 m0 f5 m6 f2 m18 e3 f3 m5
가려면	f0 m0 f5 m6 f6 m6 e3
가려하는데	f0 m0 f5 m6 f18 m0 f2 m18 e3 f3 m5
가렴	f0 m0 f5 m6 e15
가로등	f0 m0 f5 m8 f3 m18 e20
가르쳐	f0 m0 f5 m18 f14 m6
가르쳐달라고	f0 m0 f5 m18 f14 m6 f3 m0 e7 f5 m0 f0 m8
가르쳐조	f0 m0 f5 m18 f14 m6 f12 m8
가르쳐주겠니	f0 m0 f5 m18 f14 m6 f12 m13 f0 m5 e19 f2 m20
가르쳐주고	f0 m0 f5 m18 f14 m6 f12 m13 f0 m8
가르쳐주세요	f0 m0 f5 m18 f14 m6 f12 m13 f9 m5 f11 m12
가르쳐주지	f0 m0 f5 m18 f14 m6 f12 m13 f12 m20
가르쳐줄	f0 m0 f5 m18 f14 m6 f12 m13 e7
가르쳐줄까	f0 m0 f5 m18 f14 m6 f12 m13 e7 f1 m0
가르쳐줄래	f0 m0 f5 m18 f14 m6 f12 m13 e7 f5 m1
가르쳐줘	f0 m0 f5 m18 f14 m6 f12 m14
가르쳐줘라	f0 m0 f5 m18 f14 m6 f12 m14 f5 m0
가르쳐줘봐	f0 m0 f5 m18 f14 m6 f12 m14 f7 m9
가르쳐줘서	f0 m0 f5 m18 f14 m6 f12 m14 f9 m4
가르쳐줬으면	f0 m0 f5 m18 f14 m6 f12 m14 e19 f11 m18 f6 m6 e3
가르켜	f0 m0 f5 m18 f15 m6
가르켜줄래	f0 m0 f5 m18 f15 m6 f12 m13 e7 f5 m1
가르켜줘	f0 m0 f5 m18 f15 m6 f12 m14
가릴만한	f0 m0 f5 m20 e7 f6 m0 e3 f18 m0 e3
가마라	f0 m0 f6 m0 f5 m0
가마솥	f0 m0 f6 m0 f9 m8 e24
가만	f0 m0 f6 m0 e3
가맹점	f0 m0 f6 m1 e20 f12 m4 e15
가면	f0 m0 f6 m6 e3
가면은	f0 m0 f6 m6 e3 f11 m18 e3
가방	f0 m0 f7 m0 e20
가방을	f0 m0 f7 m0 e20 f11 m18 e7
가벼운	f0 m0 f7 m6 f11 m13 e3
가보려고	f0 m0 f7 m8 f5 m6 f0 m8
가보렴	f0 m0 f7 m8 f5 m6 e15
가볼까	f0 m0 f7 m8 e7 f1 m0
가볼래	f0 m0 f7 m8 e7 f5 m1
가봐	f0 m0 f7 m9
가봐라	f0 m0 f7 m9 f5 m0
가봐봐	f0 m0 f7 m9 f7 m9
가봐줄래	f0 m0 f7 m9 f12 m13 e7 f5 m1
가산교	f0 m0 f9 m0 e3 f0 m12
가서	f0 m0 f9 m4
가서는	f0 m0 f9 m4 f2 m18 e3
가세요	f0 m0 f9 m5 f11 m12
가세의	f0 m0 f9 m5 f11 m19
가세입니다	f0 m0 f9 m5 f11 m20 e16 f2 m20 f3 m0
가셔도	f0 m0 f9 m6 f3 m8
가셔야	f0 m0 f9 m6 f11 m2
가셔야되요	f0 m0 f9 m6 f11 m2 f3 m11 f11 m12
가셔야합니다	f0 m0 f9 m6 f11 m2 f18 m0 e16 f2 m20 f3 m0
가셔야해요	f0 m0 f9 m6 f11 m2 f18 m1 f11 m12
가셨는지	f0 m0 f9 m6 e19 f2 m18 e3 f12 m20
가셨대요	f0 m0 f9 m6 e19 f3 m1 f11 m12
가셨어요	f0 m0 f9 m6 e19 f11 m4 f11 m12
가셨었어요	f0 m0 f9 m6 e19 f11 m4 e19 f11 m4 f11 m12
가속	f0 m0 f9 m8 e0
가속화가	f0 m0 f9 m8 e0 f18 m9 f0 m0
가수	f0 m0 f9 m13
가수가	f0 m0 f9 m13 f0 m0
가수나	f0 m0 f9 m13 f2 m0
가수는	f0 m0 f9 m13 f2 m18 e3
가수니	f0 m0 f9 m13 f2 m20
가수도	f0 m0 f9 m13 f3 m8
가수들	f0 m0 f9 m13 f3 m18 e7
가수로	f0 m0 f9 m13 f5 m8
가수로만	f0 m0 f9 m13 f5 m8 f6 m0 e3
가수를	f0 m0 f9 m13 f5 m18 e7
가수만	f0 m0 f9 m13 f6 m0 e3
가수에	f0 m0 f9 m13 f11 m5
가수에는	f0 m0 f9 m13 f11 m5 f2 m18 e3
가수와	f0 m0 f9 m13 f11 m9
가수의	f0 m0 f9 m13 f11 m19
가스	f0 m0 f9 m18
가스가	f0 m0 f9 m18 f0 m0
가스가격은	f0 m0 f9 m18 f0 m0 f0 m6 e0 f11 m18 e3
가스누출	f0 m0 f9 m18 f2 m13 f14 m13 e7
가스누출이	f0 m0 f9 m18 f2 m13 f14 m13 e7 f11 m20
가스는	f0 m0 f9 m18 f2 m18 e3
가스대금이	f0 m0 f9 m18 f3 m1 f0 m18 e15 f11 m20
가스도	f0 m0 f9 m18 f3 m8
가스량이	f0 m0 f9 m18 f5 m2 e20 f11 m20
가스레인지	f0 m0 f9 m18 f5 m5 f11 m20 e3 f12 m20
가스레인지가	f0 m0 f9 m18 f5 m5 f11 m20 e3 f12 m20 f0 m0
가스레인지는	f0 m0 f9 m18 f5 m5 f11 m20 e3 f12 m20 f2 m18 e3
가스레인지도	f0 m0 f9 m18 f5 m5 f11 m20 e3 f12 m20 f3 m8
가스레인지를	f0 m0 f9 m18 f5 m5 f11 m20 e3 f12 m20 f5 m18 e7
가스레인지에	f0 m0 f9 m18 f5 m5 f11 m20 e3 f12 m20 f11 m5
가스레인지의	f0 m0 f9 m18 f5 m5 f11 m20 e3 f12 m20 f11 m19
가스렌지	f0 m0 f9 m18 f5 m5 e3 f12 m20
가스렌지가	f0 m0 f9 m18 f5 m5 e3 f12 m20 f0 m0
가스렌지를	f0 m0 f9 m18 f5 m5 e3 f12 m20 f5 m18 e7
가스렌지에	f0 m0 f9 m18 f5 m5 e3 f12 m20 f11 m5
가스렌지용	f0 m0 f9 m18 f5 m5 e3 f12 m20 f11 m12 e20
가스를	f0 m0 f9 m18 f5 m18 e7
가스배달	f0 m0 f9 m18 f7 m1 f3 m0 e7
가스배달을	f0 m0 f9 m18 f7 m1 f3 m0 e7 f11 m18 e7
가스배달해달라	f0 m0 f9 m18 f7 m1 f3 m0 e7 f18 m1 f3 m0 e7 f5 m0
가스밸브	f0 m0 f9 m18 f7 m1 e7 f7 m18
가스밸브를	f0 m0 f9 m18 f7 m1 e7 f7 m18 f5 m18 e7
가스세는지	f0 m0 f9 m18 f9 m5 f2 m18 e3 f12 m20
가스에	f0 m0 f9 m18 f11 m5
가스요금	f0 m0 f9 m18 f11 m12 f0 m18 e15
가스요금도	f0 m0 f9 m18 f11 m12 f0 m18 e15 f3 m8
가스요금은	f0 m0 f9 m18 f11 m12 f0 m18 e15 f11 m18 e3
가스요금이	f0 m0 f9 m18 f11 m12 f0 m18 e15 f11 m20
가스요금이에요	f0 m0 f9 m18 f11 m12 f0 m18 e15 f11 m20 f11 m5 f11 m12
가스요금입니다	f0 m0 f9 m18 f11 m12 f0 m18 e15 f11 m20 e16 f2 m20 f3 m0
가스의	f0 m0 f9 m18 f11 m19
가스잔량	f0 m0 f9 m18 f12 m0 e3 f5 m2 e20
가스잔량이	f0 m0 f9 m18 f12 m0 e3 f5 m2 e20 f11 m20
가스잠금	f0 m0 f9 m18 f12 m0 e15 f0 m18 e15
가스잠금장치	f0 m0 f9 m18 f12 m0 e15 f0 m18 e15 f12 m0 e20 f14 m20
가스점검	f0 m0 f9 m18 f12 m4 e15 f0 m4 e15
가스점검을	f0 m0 f9 m18 f12 m4 e15 f0 m4 e15 f11 m18 e7
가스좀	f0 m0 f9 m18 f12 m8 e15
가스충전	f0 m0 f9 m18 f14 m13 e20 f12 m4 e3
가스충전소	f0 m0 f9 m18 f14 m13 e20 f12 m4 e3 f9 m8
가스충전소에	f0 m0 f9 m18 f14 m13 e20 f12 m4 e3 f9 m8 f11 m5
가스충전소에다	f0 m0 f9 m18 f14 m13 e20 f12 m4 e3 f9 m8 f11 m5 f3 m0
가스충전소의	f0 m0 f9 m18 f14 m13 e20 f12 m4 e3 f9 m8 f11 m19
가스폭발	f0 m0 f9 m18 f17 m8 e0 f7 m0 e7
가슴	f0 m0 f9 m18 e15
가슴에	f0 m0 f9 m18 e15 f11 m5
가슴으로	f0 m0 f9 m18 e15 f11 m18 f5 m8
가슴이	f0 m0 f9 m18 e15 f11 m20
가시겠네요	f0 m0 f9 m20 f0 m5 e19 f2 m5 f11 m12
가시고	f0 m0 f9 m20 f0 m8
가시기로	f0 m0 f9 m20 f0 m20 f5 m8
가시나요	f0 m0 f9 m20 f2 m0 f11 m12
가시네요	f0 m0 f9 m20 f2 m5 f11 m12
가시는	f0 m0 f9 m20 f2 m18 e3
가시는게	f0 m0 f9 m20 f2 m18 e3 f0 m5
가시는데	f0 m0 f9 m20 f2 m18 e3 f3 m5
가시는데요	f0 m0 f9 m20 f2 m18 e3 f3 m5 f11 m12
가시는지	f0 m0 f9 m20 f2 m18 e3 f12 m20
가시니	f0 m0 f9 m20 f2 m20
가시려면	f0 m0 f9 m20 f5 m6 f6 m6 e3
가시면	f0 m0 f9 m20 f6 m6 e3
가시면되요	f0 m0 f9 m20 f6 m6 e3 f3 m11 f11 m12
가시지	f0 m0 f9 m20 f12 m20
가시화	f0 m0 f9 m20 f18 m9
가시화입니다	f0 m0 f9 m20 f18 m9 f11 m20 e16 f2 m20 f3 m0
가실	f0 m0 f9 m20 e7
가실건가요	f0 m0 f9 m20 e7 f0 m4 e3 f0 m0 f11 m12
가쓰	f0 m0 f10 m18
가야	f0 m0 f11 m2
가야가	f0 m0 f11 m2 f0 m0
가야겠구나	f0 m0 f11 m2 f0 m5 e19 f0 m13 f2 m0
가야겠네	f0 m0 f11 m2 f0 m5 e19 f2 m5
가야겠는데	f0 m0 f11 m2 f0 m5 e19 f2 m18 e3 f3 m5
가야겠다	f0 m0 f11 m2 f0 m5 e19 f3 m0
가야겠어	f0 m0 f11 m2 f0 m5 e19 f11 m4
가야돼	f0 m0 f11 m2 f3 m10
가야돼지	f0 m0 f11 m2 f3 m10 f12 m20
가야되거든	f0 m0 f11 m2 f3 m11 f0 m4 f3 m18 e3
가야되겠네	f0 m0 f11 m2 f3 m11 f0 m5 e19 f2 m5
가야되겠다	f0 m0 f11 m2 f3 m11 f0 m5 e19 f3 m0
가야되나	f0 m0 f11 m2 f3 m11 f2 m0
가야되냐	f0 m0 f11 m2 f3 m11 f2 m2
가야되는	f0 m0 f11 m2 f3 m11 f2 m18 e3
가야되는데	f0 m0 f11 m2 f3 m11 f2 m18 e3 f3 m5
가야되니	f0 m0 f11 m2 f3 m11 f2 m20
가야되니까	f0 m0 f11 m2 f3 m11 f2 m20 f1 m0
가야되지	f0 m0 f11 m2 f3 m11 f12 m20
가야될까	f0 m0 f11 m2 f3 m11 e7 f1 m0
가야지	f0 m0 f11 m2 f12 m20
가야하거든	f0 m0 f11 m2 f18 m0 f0 m4 f3 m18 e3
가야하는	f0 m0 f11 m2 f18 m0 f2 m18 e3
가야하는데	f0 m0 f11 m2 f18 m0 f2 m18 e3 f3 m5
가야하니까	f0 m0 f11 m2 f18 m0 f2 m20 f1 m0
가야하니깐	f0 m0 f11 m2 f18 m0 f2 m20 f1 m0 e3
가야하지	f0 m0 f11 m2 f18 m0 f12 m20
가야한다고	f0 m0 f11 m2 f18 m0 e3 f3 m0 f0 m8
가야할	f0 m0 f11 m2 f18 m0 e7
가야합니다	f0 m0 f11 m2 f18 m0 e16 f2 m20 f3 m0
가야해	f0 m0 f11 m2 f18 m1
가야해요	f0 m0 f11 m2 f18 m1 f11 m12
가업	f0 m0 f11 m4 e16
가연이	f0 m0 f11 m6 e3 f11 m20
가엾은	f0 m0 f11 m6 e17 f11 m18 e3
가요	f0 m0 f11 m12
가요가	f0 m0 f11 m12 f0 m0
가요광장이에요	f0 m0 f11 m12 f0 m9 e20 f12 m0 e20 f11 m20 f11 m5 f11 m12
가요광장입니다	f0 m0 f11 m12 f0 m9 e20 f12 m0 e20 f11 m20 e16 f2 m20 f3 m0
가요를	f0 m0 f11 m12 f5 m18 e7
가요에서	f0 m0 f11 m12 f11 m5 f9 m4
가요제가	f0 m0 f11 m12 f12 m5 f0 m0
가요중에	f0 m0 f11 m12 f12 m13 e20 f11 m5
가요중에서	f0 m0 f11 m12 f12 m13 e20 f11 m5 f9 m4
가운데	f0 m0 f11 m13 e3 f3 m5
가운데는	f0 m0 f11 m13 e3 f3 m5 f2 m18 e3
가운데서	f0 m0 f11 m13 e3 f3 m5 f9 m4
가운데서도	f0 m0 f11 m13 e3 f3 m5 f9 m4 f3 m8
가위	f0 m0 f11 m16
가으	f0 m0 f11 m18
가을	f0 m0 f11 m18 e7
가을날씨	f0 m0 f11 m18 e7 f2 m0 e7 f10 m20
가을동화	f0 m0 f11 m18 e7 f3 m8 e20 f18 m9
가을동화가	f0 m0 f11 m18 e7 f3 m8 e20 f18 m9 f0 m0
가을비가	f0 m0 f11 m18 e7 f7 m20 f0 m0
가을에	f0 m0 f11 m18 e7 f11 m5
가을이라고	f0 m0 f11 m18 e7 f11 m20 f5 m0 f0 m8
가을이랑	f0 m0 f11 m18 e7 f11 m20 f5 m0 e20
가을이었어요	f0 m0 f11 m18 e7 f11 m20 f11 m4 e19 f11 m4 f11 m12
가을철	f0 m0 f11 m18 e7 f14 m4 e7
가을충전소의	f0 m0 f11 m18 e7 f14 m13 e20 f12 m4 e3 f9 m8 f11 m19
가이즈가	f0 m0 f11 m20 f12 m18 f0 m0
가이즈의	f0 m0 f11 m20 f12 m18 f11 m19
가입	f0 m0 f11 m20 e16
가입되니	f0 m0 f11 m20 e16 f3 m11 f2 m20
가입되었는지	f0 m0 f11 m20 e16 f3 m11 f11 m4 e19 f2 m18 e3 f12 m20
가입된	f0 m0 f11 m20 e16 f3 m11 e3
가입이	f0 m0 f11 m20 e16 f11 m20
가입하기	f0 m0 f11 m20 e16 f18 m0 f0 m20
가입하기에	f0 m0 f11 m20 e16 f18 m0 f0 m20 f11 m5
가입하기엔	f0 m0 f11 m20 e16 f18 m0 f0 m20 f11 m5 e3
가입한	f0 m0 f11 m20 e16 f18 m0 e3
가입할	f0 m0 f11 m20 e16 f18 m0 e7
가입해줘	f0 m0 f11 m20 e16 f18 m1 f12 m14
가있니	f0 m0 f11 m20 e19 f2 m20
가있었지	f0 m0 f11 m20 e19 f11 m4 e19 f12 m20
가자	f0 m0 f12 m0
가자가	f0 m0 f12 m0 f0 m0
가자고	f0 m0 f12 m0 f0 m8
가자를	f0 m0 f12 m0 f5 m18 e7
가자입니다	f0 m0 f12 m0 f11 m20 e16 f2 m20 f3 m0
가작	f0 m0 f12 m0 e0
가장	f0 m0 f12 m0 e20
가전업체	f0 m0 f12 m4 e3 f11 m4 e16 f14 m5
가정	f0 m0 f12 m4 e20
가정에서	f0 m0 f12 m4 e20 f11 m5 f9 m4
가정용	f0 m0 f12 m4 e20 f11 m12 e20
가정을	f0 m0 f12 m4 e20 f11 m18 e7
가져	f0 m0 f12 m6
가져가는	f0 m0 f12 m6 f0 m0 f2 m18 e3
가져가는게	f0 m0 f12 m6 f0 m0 f2 m18 e3 f0 m5
가져가도	f0 m0 f12 m6 f0 m0 f3 m8
가져가세요	f0 m0 f12 m6 f0 m0 f9 m5 f11 m12
가져가셔야	f0 m0 f12 m6 f0 m0 f9 m6 f11 m2
가져가셔야해요	f0 m0 f12 m6 f0 m0 f9 m6 f11 m2 f18 m1 f11 m12
가져가시는	f0 m0 f12 m6 f0 m0 f9 m20 f2 m18 e3
가져가시는게	f0 m0 f12 m6 f0 m0 f9 m20 f2 m18 e3 f0 m5
